PDID,sample_type
PD43974af2,BM
PD43974ag2,BM
PD43974ah2,BM
PD43974aj2,BM
PD43974al2,BM
PD43974am2,BM
PD43974an2,BM
PD43974ao2,BM
PD43974ap2,BM
PD43974ar2,BM
PD43974hu,BM
PD43974hv,BM
PD43974hw,BM
PD43974hx,BM
PD43974bw3,BM
PD43974ih,BM
PD43974en,BM
PD43974ii,BM
PD43974ij,BM
PD43974ik,BM
PD43974il,BM
PD43974im,BM
PD43974in,BM
PD43974io,BM
PD43974ip,BM
PD43974ak,BM
PD43974aq,BM
PD43974at,BM
PD43974au,BM
PD43974av,BM
PD43974ay,BM
PD43974az,BM
PD43974bb,BM
PD43974bc,BM
PD43974bd,BM
PD43974iq,BM
PD43974ir,BM
PD43974eo,BM
PD43974is,BM
PD43974it,BM
PD43974iu,BM
PD43974iv,BM
PD43974iw,BM
PD43974ix,BM
PD43974iy,BM
PD43974iz,BM
PD43974ja,BM
PD43974jb,BM
PD43974ep,BM
PD43974jc,BM
PD43974jd,BM
PD43974je,BM
PD43974jf,BM
PD43974jg,BM
PD43974jh,BM
PD43974ji,BM
PD43974jj,BM
PD43974jk,BM
PD43974jl,BM
PD43974eq,BM
PD43974jm,BM
PD43974jn,BM
PD43974jo,BM
PD43974jp,BM
PD43974jq,BM
PD43974jr,BM
PD43974js,BM
PD43974jt,BM
PD43974ju,BM
PD43974jv,BM
PD43974er,BM
PD43974jw,BM
PD43974jy,BM
PD43974jz,BM
PD43974kb,BM
PD43974kc,BM
PD43974kd,BM
PD43974ke,BM
PD43974kf,BM
PD43974kg,BM
PD43974kh,BM
PD43974kj,BM
PD43974km,BM
PD43974kn,BM
PD43974et,BM
PD43974kq,BM
PD43974ks,BM
PD43974kt,BM
PD43974ku,BM
PD43974kv,BM
PD43974kx,BM
PD43974kz,BM
PD43974la,BM
PD43974lb,BM
PD43974lc,BM
PD43974ld,BM
PD43974lf,BM
PD43974lg,BM
PD43974lh,BM
PD43974lj,BM
PD43974ev,BM
PD43974lk,BM
PD43974ll,BM
PD43974lm,BM
PD43974lr,BM
PD43974fb,BM
PD43974ns,PB
PD43974fc,BM
PD43974ok,PB
PD43974fd,BM
PD43974om,PB
PD43974on,PB
PD43974oo,PB
PD43974op,PB
PD43974or,PB
PD43974l,BM
PD43974m,BM
PD43974p,BM
PD43974t,BM
PD43974v,BM
PD43974w,BM
PD43974z,BM
PD43974ad,BM
PD43974ae,BM
PD43974ai,BM
PD43974ls,BM
PD43974lt,BM
PD43974ee,BM
PD43974ew,BM
PD43974lu,BM
PD43974lv,BM
PD43974lw,BM
PD43974lz,BM
PD43974md,BM
PD43974ex,BM
PD43974mf,BM
PD43974mj,BM
PD43974mk,BM
PD43974ml,BM
PD43974mm,BM
PD43974mn,BM
PD43974ey,BM
PD43974mp,BM
PD43974mq,BM
PD43974mu,PB
PD43974as2,BM
PD43974aw2,BM
PD43974ax2,BM
PD43974be2,BM
PD43974bg2,BM
PD43974bk2,BM
PD43974bm2,BM
PD43974bp2,BM
PD43974bx2,BM
PD43974by2,BM
PD43974mv,PB
PD43974ez,BM
PD43974mz,PB
PD43974ng,PB
PD43974fa,BM
PD43974nj,PB
PD43974nk,PB
PD43974nl,PB
PD43974no,PB
PD43974nq,PB
PD43974os,PB
PD43974ot,PB
PD43974ou,PB
PD43974ov,PB
PD43974fe,BM
PD43974ow,PB
PD43974ox,PB
PD43974oy,PB
PD43974pb,PB
PD43974pd,PB
PD43974pe,PB
PD43974pf,PB
PD43974ff,BM
PD43974pg,PB
PD43974ph,PB
PD43974pi,PB
PD43974pj,PB
PD43974pk,PB
PD43974pk,PB
PD43974pl,PB
PD43974pl,PB
PD43974pm,PB
PD43974pm,PB
PD43974pn,PB
PD43974pn,PB
PD43974po,PB
PD43974po,PB
PD43974pp,PB
PD43974pp,PB
PD43974ef,BM
PD43974fg,BM
PD43974pq,PB
PD43974pq,PB
PD43974ps,PB
PD43974ps,PB
PD43974pt,PB
PD43974pt,PB
PD43974pu,PB
PD43974pu,PB
PD43974pv,PB
PD43974pv,PB
PD43974pw,PB
PD43974pw,PB
PD43974px,PB
PD43974px,PB
PD43974py,PB
PD43974py,PB
PD43974fh,BM
PD43974qa,PB
PD43974qa,PB
PD43974fi,BM
PD43974fj,BM
PD43974bf,BM
PD43974bi,BM
PD43974bj,BM
PD43974bl,BM
PD43974bn,BM
PD43974bo,BM
PD43974bq,BM
PD43974br,BM
PD43974bs,BM
PD43974bt,BM
PD43974fk,BM
PD43974fm,BM
PD43974fn,BM
PD43974fo,BM
PD43974fp,BM
PD43974fr,BM
PD43974fu,BM
PD43974fv,BM
PD43974fw,BM
PD43974fx,BM
PD43974bu,BM
PD43974bv,BM
PD43974ce,BM
PD43974cg,BM
PD43974ci,BM
PD43974cn,BM
PD43974cp,BM
PD43974cs,BM
PD43974ab2,BM
PD43974ac2,BM
PD43974bz,BM
PD43974cj,BM
PD43974ko,BM
PD43974b3,BM
PD43974cm3,BM
PD43974eg2,BM
PD43974em2,BM
PD43974es2,BM
PD43974eu2,BM
PD43974cb2,BM
PD43974cc2,BM
PD43974cd2,BM
PD43974cf2,BM
PD43974ch2,BM
PD43974ck2,BM
PD43974cl2,BM
PD43974co2,BM
PD43974cq2,BM
PD43974cr2,BM
PD43974ct2,BM
PD43974f2,BM
PD43974g2,BM
PD43974n2,BM
PD43974o2,BM
PD43974q2,BM
PD43974r2,BM
PD43974s2,BM
PD43974u2,BM
PD43974y2,BM
PD43974ed,BM
PD43974hy,BM
PD43974hz,BM
PD43974ia,BM
PD43974ib,BM
PD43974ic,BM
PD43974id,BM
PD43974ie,BM
PD43974if,BM
PD43974ig,BM
PD43974fq2,BM
PD43974fs2,BM
PD43974ft2,BM
PD43974fy2,BM
PD43974gc2,BM
PD43974gr2,BM
PD43974gx2,BM
PD43974gz2,BM
PD43974fz,BM
PD43974eh,BM
PD43974ga,BM
PD43974gb,BM
PD43974gd,BM
PD43974ge,BM
PD43974gf,BM
PD43974gg,BM
PD43974gh,BM
PD43974gi,BM
PD43974gj,BM
PD43974ei,BM
PD43974gl,BM
PD43974go,BM
PD43974gp,BM
PD43974gq,BM
PD43974gs,BM
PD43974gt,BM
PD43974ej,BM
PD43974gu,BM
PD43974gv,BM
PD43974gw,BM
PD43974gy,BM
PD43974hc,BM
PD43974hd,BM
PD43974he,BM
PD43974hf,BM
PD43974hh,BM
PD43974hi,BM
PD43974hj,BM
PD43974ha2,BM
PD43974hb2,BM
PD43974hg2,BM
PD43974c,BM
PD43974e,BM
PD43974h,BM
PD43974i,BM
PD43974j,BM
PD43974k,BM
PD43974hl,BM
PD43974hm,BM
PD43974hn,BM
PD43974el,BM
PD43974ho,BM
PD43974hp,BM
PD43974hq,BM
PD43974hr,BM
PD43974hs,BM
PD43974ht,BM